app_id,game_title,developer,review_id,reviewer,review_title,review_text,review_rating,review_date,review_version,country,cleaned_review,pain_point_id,cluster_id
6761760135,Meowdoku!,Oakever Games,14402101509,seethis2,Virus scam alert,Any app that is telling you have a virus is a scam questionable game that does this,1,2026-08-08 09:00:52+00:00,1.11.0,US,any that telling you have virus scam questionable that does this,6,9
6761760135,Meowdoku!,Oakever Games,14401834091,Saareyy,Bewtey cheeks,It comes to a point where you just have to guess where it goes is bull shiet,2,2026-08-08 07:04:54+00:00,1.11.0,US,comes point where you have guess where goes bull shiet,6,9
6761760135,Meowdoku!,Oakever Games,14401490477,Bleeny,Games repeat themselves,"Not a lot of games, but the same ones over and over :(  A lot of ads! I realize you need to earn some money but an option to buy the game and make it ad free would be nice. That being said, it would be a bit of a ripoff to charge for the same few games put on repeat. Outside of the ads and the limited game play it was enjoyable enough for what it was.",2,2026-08-08 04:30:13+00:00,1.11.0,US,not lot but the same ones over and over lot ads realize you need earn some money but option buy the and free would nice that being said would bit ripoff charge for the same few put repeat outside the ads and the limited was enjoyable enough for what was,2,9
6761760135,Meowdoku!,Oakever Games,14401315012,CatCanDo.2,Too Many Ads,"I would absolutely love this game if it were not for ads after every single game but, alas, they are there and I will be uninstalling the game.",1,2026-08-08 03:14:39+00:00,1.11.0,US,would absolutely this were not for ads after every single but alas they are there and will uninstalling the,2,9
6761760135,Meowdoku!,Oakever Games,14401027005,Natherson825,Too Many Ads,"The game is ok, but the ads make it unbearable. Watch more ads than actual game time. I’d even be willing to do a paid version.",1,2026-08-08 01:20:46+00:00,1.11.0,US,the but the ads unbearable watch more ads than actual even willing paid version,2,9
6761760135,Meowdoku!,Oakever Games,14401001307,Tben53,Double adds imposed,Today - at least 6 times - to move to the next level or next move TWO ads had to be viewed. Unacceptable.,1,2026-08-08 01:10:45+00:00,1.11.0,US,today least move the next level next move two ads had viewed unacceptable,2,9
6761760135,Meowdoku!,Oakever Games,14400953714,ChattyGranny,Game Design Set to Force Spending Money,"Great game concept, BUT, as you progress through the levels, the starting layouts actually force you to literally guess where a cat should go, or force you to use a cat option. Any good puzzle will have an “obvious” starting point. Also, there is no option to stop the ads. Don’t waste your time because after a few levels the game is more frustrating than fun and relaxing‼️ I finally quit at level 55 and deleted game.",1,2026-08-08 00:52:05+00:00,1.11.0,US,concept but you progress through the levels the starting layouts actually force you literally guess where cat should force you use cat option any puzzle will have obvious starting point also there option stop the ads don waste your because after few levels the more frustrating than fun and relaxing finally quit level and deleted,4,9
6761760135,Meowdoku!,Oakever Games,14400459717,MikaNickel,Ads take away the enjoyment,"Love the game, but the inability to purchase and remove the ads is a no go. The ads make the game almost unplayable. I wouldn’t mind paying to unlock a no ads version, but it doesn’t seem to be an option.",1,2026-08-07 21:35:52+00:00,1.11.0,US,the but the inability purchase and remove the ads the ads the almost unplayable wouldn mind paying unlock ads version but doesn seem option,2,9
6761760135,Meowdoku!,Oakever Games,14400001654,Not very good - yuk,Meowduku,"after the first levels , i am continually presented with add for games that i already own.  i can’t close the game, i have to continuously play the limited demo.  If i go to the app store  and try and close it, i go back to the demo again. same thing if i go back the Meowdoku, it goes into the demo. i just loop through the same thing over and over.  it can take 20 minutes and closing Meowdoku before i can actually get to the next level.   This is about the worst game i have played. The game itself isn’t bad, but the entire experience is horrible. off to the trash bin.  Why can’t we we go back to the days when you actually pay for a app. then can play without interference",1,2026-08-07 18:49:25+00:00,1.11.0,US,after the first levels continually presented with add for that already own can close the have continuously the limited demo the store and try and close back the demo again same back the meowdoku goes into the demo loop through the same over and over can take minutes and closing meowdoku before can actually the next level this about the worst have the itself isn but the entire experience horrible off the trash bin why can back the days when you actually pay for then can without interference,4,9
6761760135,Meowdoku!,Oakever Games,14399995591,81BS,Disappointing,"Love the game, but despite saying no interruption due to ads. My games are constantly interrupted and momentum ruined between games with ads. Ads increase as my level increases. Very disappointing. 😬",2,2026-08-07 18:47:20+00:00,1.11.0,US,the but despite saying interruption due ads are constantly interrupted and momentum ruined between with ads ads increase level increases very disappointing,2,9
6761760135,Meowdoku!,Oakever Games,14399994575,OneReallyTallGuy,Oppressive Ads,"Game is quite fun, but ads get progressively longer and more intrusive after a few dozen levels. It’s unplayable after a while.",2,2026-08-07 18:46:59+00:00,1.11.0,US,quite fun but ads progressively longer and more intrusive after few dozen levels unplayable after while,2,9
6761760135,Meowdoku!,Oakever Games,14399988670,Roadfood,Needs instructions,"Dumb game with no instructions, no help, no clue how to play",1,2026-08-07 18:44:59+00:00,1.11.0,US,dumb with instructions help clue how,6,9
6748084174,Smash Fest!,Flow Games Bilisim Yazilim ve Pazarlama Anonim Sirketi,14401248086,Wyogrl2025,Not the same,The game is not at all like the trial one that pops up. I’m more annoyed and frustrated than having fun. The power of the balls are weak not like in the trial.,2,2026-08-08 02:47:30+00:00,575,US,the not all the trial one that pops more annoyed and frustrated than having fun the power the balls are weak not the trial,6,3
6748084174,Smash Fest!,Flow Games Bilisim Yazilim ve Pazarlama Anonim Sirketi,14401129513,Bstormie,Horrible game to cost 900 tokens to advance,I will delete this game if it costs 900 tokens to get 5 balls,1,2026-08-08 02:00:54+00:00,575,US,will delete this costs tokens balls,6,3
6748084174,Smash Fest!,Flow Games Bilisim Yazilim ve Pazarlama Anonim Sirketi,14401042491,fañy,Anuncio,Muchos anuncios no sirven,1,2026-08-08 01:26:50+00:00,575,US,muchos anuncios sirven,6,3
6748084174,Smash Fest!,Flow Games Bilisim Yazilim ve Pazarlama Anonim Sirketi,14400669963,Fswrgv174,"Bad physics, no challenge, no upgrades","This could be so good but you can’t upgrade your ball, the physics make no sense, and so therefore the challenge element stinks big time.",2,2026-08-07 22:58:50+00:00,575,US,this could but you can upgrade your ball the physics sense and therefore the challenge element stinks big,6,3
6748084174,Smash Fest!,Flow Games Bilisim Yazilim ve Pazarlama Anonim Sirketi,14400586143,NoWorkDay,Better Smash Games Out There,"Graphics fun but play action not the best- doesn’t feel natural. Play sometimes feels like choreographed. Don’t buy the extra 5 balls! After the 5th ball is played, the screen changes so fast you can’t see what, if anything, is left on the table. Keep looking. This is not the one.",2,2026-08-07 22:25:17+00:00,575,US,graphics fun but action not the best doesn feel natural sometimes feels choreographed don buy the extra balls after the ball the screen changes fast you can see what anything left the table keep looking this not the one,6,3
6748084174,Smash Fest!,Flow Games Bilisim Yazilim ve Pazarlama Anonim Sirketi,14400363067,AuntieNeenee,Smash Fest,If there were free daily incentives such as free coins or prizes this game would be even better to play.,2,2026-08-07 20:58:52+00:00,575,US,there were free daily incentives such free coins prizes this would even better,6,3
